runner,gender,yard,start,split1,split2,split3,finish
176,M,43,0.07,4.32,21.2,40.23,45.23
176,M,44,0.07,4.83,23.12,44.52,49.6
176,M,45,0.08,4.72,22.87,44.62,51.87
176,M,46,0.12,5.2,25.67,47.73,52.55
176,M,47,0.12,4.68,23.22,43.17,47.75
176,M,48,0.1,4.65,22.37,43.63,48.4
176,M,49,0.13,4.97,24.37,45.62,50.35
176,M,50,0.13,5.63,27.42,51.83,57.68
176,M,51,0.13,4.3,20.75,38.6,42.95
176,M,52,0.03,4.95,24.77,46.45,51.05
176,M,53,0.05,4.7,22.77,43.05,47.93
176,M,54,0.05,4.78,23.8,44.77,49.9
176,M,55,0.08,4.92,24.4,45.77,50.9
176,M,56,0.05,4.78,22.7,43.67,48.87
176,M,57,0.08,3.93,20.2,38.65,43.75
176,M,58,0.12,4.67,22.83,43.12,48.25
176,M,59,0.08,4.62,23.75,44.65,49.8
176,M,60,0.08,4.73,23.93,44.9,49.67
176,M,61,0.13,4.4,22.03,42.28,47.15
176,M,62,0.12,5.03,24.95,47.47,52.45
176,M,63,0.12,5.5,25.48,45.4,50.3
176,M,64,0.13,4.77,22.73,44.77,50.08
176,M,65,0.15,4.83,23.25,43.47,48.7
176,M,66,0.15,5.18,24.38,46.27,51.65
176,M,67,0.17,4.78,23.2,44.05,49.1
176,M,68,0.17,4.68,22.57,43.55,48.8
176,M,69,0.17,4.87,22.92,44.47,49.83
176,M,70,0.05,5.27,24.65,47.15,53.03
176,M,71,0.02,4.48,22.35,42.05,46.98
176,M,72,0.05,4.78,23.03,44.18,49.43
176,M,73,0.05,5.12,24.42,45.27,50.33
176,M,74,0.05,4.78,24.4,45.73,51.02
176,M,75,0.08,5.1,24.32,46.2,51.48
176,M,76,0.08,4.82,23.55,45.8,53.58
176,M,77,0.08,5.57,27.05,50.67,56.13
176,M,78,0.1,5.6,26.67,50.75,56.62
176,M,79,0.02,5.55,27,50.87,56.33
176,M,80,0.05,5.63,26.63,50.87,56.9
176,M,81,0.07,,,,
522,M,1,0.07,4.13,21.25,40.55,46.62
522,M,2,0.15,4.58,21.83,40.55,46.13
522,M,3,0.05,4.35,21.08,40.08,46.07
522,M,4,0.08,4.37,21.38,41.05,46.78
522,M,5,0.15,4.35,21.87,41,45.75
522,M,6,0.08,4.4,22,43.08,47.7
522,M,7,0.13,4.38,22.18,42.57,48.48
522,M,8,0.22,4.65,22.27,42.02,47.73
522,M,9,0.13,4.47,22.45,42.3,46.93
522,M,10,0.15,4.58,23.02,42.72,48.38
522,M,11,0.13,4.5,21.97,41.18,47.18
522,M,12,0.13,4.57,22.12,41.43,47.67
522,M,13,0.05,4.53,23.07,43.32,47.83
522,M,14,0.1,4.8,23.82,44.35,48.77
522,M,15,0.1,4.63,23.53,44.63,49.07
522,M,16,0.1,4.67,23.48,44.33,49.08
522,M,17,0.13,4.78,22.87,43.47,48.18
522,M,18,0.1,4.8,22.92,43.73,50.9
522,M,19,0.12,4.83,24.05,44.65,49.58
522,M,20,0.15,4.9,23.95,45.1,51.67
522,M,21,0.1,4.57,22.53,43.22,48.07
522,M,22,0.15,4.73,23.47,44.05,48.77
522,M,23,0.17,4.6,22.73,43.45,48
522,M,24,0.12,4.38,21.58,42.65,47.07
522,M,25,0.17,4.57,22.65,43.07,49.08
522,M,26,0.22,4.65,22.83,43.27,48.05
522,M,27,0.18,4.47,22.32,42.98,47.85
522,M,28,0.18,4.53,22.62,42.75,47.6
522,M,29,0.2,4.68,22.98,43.05,47.85
522,M,30,0.23,4.45,22.15,43.22,47.82
522,M,31,0.2,4.72,23.55,44.07,48.92
522,M,32,0.2,4.67,23.33,43.78,48.43
522,M,33,0.22,4.63,23.03,45.55,49.75
522,M,34,0.2,4.55,23.52,44.35,51.45
522,M,35,0.25,4.8,23.68,45.07,50.25
522,M,36,0.25,5.2,24.53,45.55,50.42
522,M,37,0.28,5.13,25.1,46.15,50.62
522,M,38,0.32,5.1,23.52,44.48,50.57
522,M,39,0.08,4.75,23.1,44.53,49.27
522,M,40,0.08,4.98,23.73,45.43,49.97
522,M,41,0.07,5.05,24.15,45.73,50.62
522,M,42,0.07,5.15,24.68,46.52,54.98
522,M,43,0.08,4.52,23.12,44.93,50.27
522,M,44,0.07,5.02,25.35,47.38,52.2
522,M,45,0.08,4.88,25.18,47,51.65
522,M,46,0.12,5.22,25.73,47.15,51.85
522,M,47,0.1,5,23.92,44.45,49.28
522,M,48,0.15,4.7,23.88,44.7,49.68
522,M,49,0.13,5,24.4,45.62,50.35
522,M,50,0.13,5.02,25.28,47.65,52.05
522,M,51,0.13,5.2,25.35,48.37,53.28
522,M,52,0.05,4.95,24.78,46.43,51.1
522,M,53,0.02,4.93,25.67,46.35,51.03
522,M,54,0.08,5.45,26.6,47.47,52.3
522,M,55,0.03,4.87,25.97,48.35,52.57
522,M,56,0.07,4.75,24.7,47.55,52
522,M,57,0.1,4.57,23.1,43.98,49.95
522,M,58,0.12,4.75,24.37,47.12,52.18
522,M,59,0.08,5.05,25.47,47,51.45
522,M,60,0.1,5.6,25.08,47.22,52.02
522,M,61,0.15,5.08,25.82,46.87,51.58
522,M,62,0.13,5.3,26.68,48.8,53.28
522,M,63,0.13,4.75,23.52,46.8,51.68
522,M,64,0.17,4.88,25.35,47.87,52.78
522,M,65,0.18,5.07,25.15,47.53,52.28
522,M,66,0.23,5.2,25.5,47.68,52.75
522,M,67,0.18,4.93,25.27,48.35,53.12
522,M,68,0.18,4.95,25.6,46.73,51.78
522,M,69,0.2,5.05,25.8,48.18,53
522,M,70,0.07,4.73,25.9,48.13,53.18
522,M,71,0.1,4.92,24.62,45.87,50.85
522,M,72,0.07,4.8,24,44.73,49.42
522,M,73,0.07,4.65,24.25,46.08,51.15
522,M,74,0.08,4.83,25.28,47.07,51.87
522,M,75,0.1,5,25.77,48.82,53.32
522,M,76,0.07,5.18,24.08,49.27,53.53
522,M,77,0.08,4.67,25.87,49.77,54.27
522,M,78,0.1,4.42,,,
366,M,1,0,4.13,21.28,40.57,45.45
366,M,2,0.03,4.25,22.22,41.95,46.48
366,M,3,0.07,4.33,20.88,40.07,44.83
366,M,4,0.05,4.37,22.32,43.42,48.2
366,M,5,0.12,4.35,21.88,42.92,47.63
366,M,6,0.13,4.85,23.95,45.48,50.35
366,M,7,0.3,4.72,23.7,44.73,49.5
366,M,8,0.22,4.63,22.27,41.97,46.75
366,M,9,0.13,4.47,22.53,42.58,47.5
366,M,10,0.42,5.3,23.68,44.43,49.3
366,M,11,0.13,4.5,22,41.17,46.6
366,M,12,0.38,5.02,23.35,43.83,48.93
366,M,13,0.07,,23.22,43.62,48.12
366,M,14,0.12,4.77,23.82,45.5,50.73
366,M,15,0.08,4.62,23.53,44.3,48.95
366,M,16,0.23,4.87,24.1,44.35,49.23
366,M,17,0.17,4.9,22.7,42.97,47.75
366,M,18,0.12,4.78,22.93,43.77,48.65
366,M,19,0.15,4.97,23.55,44.27,49.18
366,M,20,0.17,4.9,23.97,45.27,49.87
366,M,21,0.1,4.43,22.13,42.8,47.68
366,M,22,0.17,4.8,23.55,45.22,50.05
366,M,23,0.15,4.72,22.75,43.28,48.02
366,M,24,0.13,4.55,22.3,42.47,47.25
366,M,25,0.18,4.57,22.68,43.55,48.7
366,M,26,0.2,4.77,23.63,45.2,49.95
366,M,27,0.15,4.47,22.8,44.2,48.97
366,M,28,0.17,4.55,22.9,43.5,48.42
