front,back
art gallery,びじゅつかん
bank,ぎんこう
bridge,はし
buildings,たてもの
cinema,えいがかん
coffee shop,きさてん
department store,でぱあと
festival,まつり
forest,もり
hospital,びょういん
intersection,こうさてん
island,しま
library,としょかん
mountain,やま
ocean,うみ
park,こうえん
railway station,えき
restaurant,????
shop,や
street,みち
subway,ちかてつ
town,まち
traffic lights,しんごう
