front,back
daughter,むすめ
everyone,みんな
her,かのじょ
him,かれ
me,わたし
my dad,ちち
my family,かぞく
my mum,はは
my older brother,あに
my older sister,あね
my parents,りょうしん
my siblings,きょうだい
my wife,つま
my younger brother,おとうと
my younger sister,いもうと
son,むすこ
you,あなた
your dad,おとうさん
your family,ごかぞく
your husband,ごしゅじん
your mum,おかあさん
your older brother,おにいさん
your older sister,おねえさん
your parents,ごりょうしん
your siblings,ごきょうだい
your wife,おくさん
your younger brother,おとうとさん
your younger sister,いもうとさん
