front,back
あ,a
い,i
う,u
え,e
お,o
か,ka
が,ga
き,ki
ぎ,gi
く,ku
ぐ,gu
け,ke
げ,ge
こ,ko
ご,go
さ,sa
ざ,dsa
し,shi
じ,ji
す,su
ず,dsu
せ,se
ぜ,dse
そ,so
ぞ,dso
た,ta
だ,da
ち,tchi
ぢ,dji
つ,tsu
づ,dsu
て,te
で,de
と,to
ど,do
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ば,ba
ぱ,pa
ひ,hi
び,bi
ぴ,pi
ふ,hu
ぶ,bu
ぷ,pu
へ,he
べ,be
ぺ,pe
ほ,ho
ぼ,bo
ぽ,po
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,ng
